route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_13,-73.9900783,40.7380336,2016/3/5 17:59:40,rider,onboard
5_70_rider_13,-73.99008507777778,40.738008166666674,2016/3/5 17:59:45,rider,onboard
5_70_rider_13,-73.99009185555555,40.73798273333334,2016/3/5 17:59:50,rider,onboard
5_70_rider_13,-73.99009863333333,40.737957300000005,2016/3/5 17:59:55,rider,onboard
5_70_rider_13,-73.9901054111111,40.73793186666667,2016/3/5 18:00:00,rider,onboard
5_70_rider_13,-73.99011218888889,40.737906433333336,2016/3/5 18:00:05,rider,onboard
5_70_rider_13,-73.99011896666666,40.737881,2016/3/5 18:00:10,rider,onboard
5_70_rider_13,-73.99012574444444,40.737855566666674,2016/3/5 18:00:15,rider,onboard
5_70_rider_13,-73.99013252222221,40.73783013333334,2016/3/5 18:00:20,rider,onboard
5_70_rider_13,-73.9901393,40.737804700000005,2016/3/5 18:00:25,rider,onboard
5_70_rider_13,-73.9901393,40.737804700000005,2016/3/5 18:00:30,rider,onboard
5_70_rider_13,-73.9896359,40.737593100000005,2016/3/5 18:00:35,rider,onboard
5_70_rider_13,-73.9891325,40.7373815,2016/3/5 18:00:40,rider,onboard
5_70_rider_13,-73.9886291,40.7371699,2016/3/5 18:00:45,rider,onboard
5_70_rider_13,-73.9886291,40.7371699,2016/3/5 18:00:50,rider,onboard
5_70_rider_13,-73.98884559999999,40.73687285,2016/3/5 18:00:55,rider,onboard
5_70_rider_13,-73.9890621,40.7365758,2016/3/5 18:01:00,rider,onboard
5_70_rider_13,-73.9890621,40.7365758,2016/3/5 18:01:05,rider,onboard
5_70_rider_13,-73.98927685,40.73628825,2016/3/5 18:01:10,rider,onboard
5_70_rider_13,-73.9894916,40.736000700000005,2016/3/5 18:01:15,rider,onboard
5_70_rider_13,-73.9894916,40.736000700000005,2016/3/5 18:01:20,rider,onboard
5_70_rider_13,-73.9897314,40.7356831,2016/3/5 18:01:25,rider,onboard
5_70_rider_13,-73.9899712,40.7353655,2016/3/5 18:01:30,rider,onboard
5_70_rider_13,-73.9899712,40.7353655,2016/3/5 18:01:35,rider,onboard
5_70_rider_13,-73.9903532,40.73507645,2016/3/5 18:01:40,rider,onboard
5_70_rider_13,-73.9907352,40.7347874,2016/3/5 18:01:45,rider,onboard
5_70_rider_13,-73.9907352,40.7347874,2016/3/5 18:01:50,rider,onboard
5_70_rider_13,-73.99075500000001,40.73471412727273,2016/3/5 18:01:55,rider,onboard
5_70_rider_13,-73.9907748,40.734640854545454,2016/3/5 18:02:00,rider,onboard
5_70_rider_13,-73.9907946,40.73456758181818,2016/3/5 18:02:05,rider,onboard
5_70_rider_13,-73.9908144,40.73449430909091,2016/3/5 18:02:10,rider,onboard
5_70_rider_13,-73.99083420000001,40.73442103636364,2016/3/5 18:02:15,rider,onboard
5_70_rider_13,-73.990854,40.734347763636364,2016/3/5 18:02:20,rider,onboard
5_70_rider_13,-73.9908738,40.734274490909094,2016/3/5 18:02:25,rider,onboard
5_70_rider_13,-73.9908936,40.73420121818182,2016/3/5 18:02:30,rider,onboard
5_70_rider_13,-73.99091340000001,40.73412794545455,2016/3/5 18:02:35,rider,onboard
5_70_rider_13,-73.9909332,40.734054672727275,2016/3/5 18:02:40,rider,onboard
5_70_rider_13,-73.990953,40.733981400000005,2016/3/5 18:02:45,rider,onboard
5_70_rider_13,-73.990953,40.733981400000005,2016/3/5 18:02:50,rider,onboard
5_70_rider_13,-73.9910335,40.733597700000004,2016/3/5 18:02:55,rider,onboard
5_70_rider_13,-73.991114,40.733214000000004,2016/3/5 18:03:00,rider,onboard
5_70_rider_13,-73.991114,40.733214000000004,2016/3/5 18:03:05,rider,onboard
5_70_rider_13,-73.99115775,40.73302275,2016/3/5 18:03:10,rider,onboard
5_70_rider_13,-73.99120149999999,40.7328315,2016/3/5 18:03:15,rider,onboard
5_70_rider_13,-73.99124524999999,40.73264025,2016/3/5 18:03:20,rider,onboard
5_70_rider_13,-73.991289,40.732449,2016/3/5 18:03:25,rider,onboard
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:00,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:05,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:10,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:15,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:20,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:25,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:30,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:35,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:40,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:45,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:50,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:15:55,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:00,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:05,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:10,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:15,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:20,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:25,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:30,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:35,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:40,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:45,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:50,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:16:55,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:00,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:05,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:10,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:15,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:20,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:25,point,display
5_70_rider_14_meeting_point,-73.99960899999999,40.723423,2016/3/5 17:17:30,point,display
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:30,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:35,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:40,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:45,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:50,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:42:55,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:00,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:05,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:10,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:15,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:20,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:25,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:30,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:35,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:40,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:45,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:50,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:43:55,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:00,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:05,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:10,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:15,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:20,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:25,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:30,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:35,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:40,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:45,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:50,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:44:55,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:45:00,rider,wait
5_70_rider_14,-73.99960899999999,40.723423,2016/3/5 18:45:05,rider,onboard
5_70_rider_14,-73.99995836666666,40.7230096,2016/3/5 18:45:10,rider,onboard
5_70_rider_14,-74.00030773333333,40.7225962,2016/3/5 18:45:15,rider,onboard
5_70_rider_14,-74.0006571,40.7221828,2016/3/5 18:45:20,rider,onboard
5_70_rider_14,-74.0006571,40.7221828,2016/3/5 18:45:25,rider,onboard
5_70_rider_14,-74.0010321,40.722366949999994,2016/3/5 18:45:30,rider,onboard
5_70_rider_14,-74.0014071,40.7225511,2016/3/5 18:45:35,rider,onboard
5_70_rider_14,-74.0014071,40.7225511,2016/3/5 18:45:40,rider,onboard
5_70_rider_14,-74.00151685714286,40.722604985714284,2016/3/5 18:45:45,rider,onboard
5_70_rider_14,-74.00162661428571,40.72265887142857,2016/3/5 18:45:50,rider,onboard
5_70_rider_14,-74.00173637142858,40.72271275714286,2016/3/5 18:45:55,rider,onboard
5_70_rider_14,-74.00184612857143,40.72276664285714,2016/3/5 18:46:00,rider,onboard
5_70_rider_14,-74.0019558857143,40.722820528571425,2016/3/5 18:46:05,rider,onboard
5_70_rider_14,-74.00206564285715,40.72287441428571,2016/3/5 18:46:10,rider,onboard
5_70_rider_14,-74.00217540000001,40.7229283,2016/3/5 18:46:15,rider,onboard
5_70_rider_14,-74.00217540000001,40.7229283,2016/3/5 18:46:20,rider,onboard
5_70_rider_14,-74.00244060000001,40.7226172,2016/3/5 18:46:25,rider,onboard
5_70_rider_14,-74.0027058,40.7223061,2016/3/5 18:46:30,rider,onboard
5_70_rider_14,-74.002971,40.721995,2016/3/5 18:46:35,rider,onboard
5_70_rider_14,-74.002971,40.721995,2016/3/5 18:46:40,rider,onboard
5_70_rider_14,-74.00293285000001,40.7219763,2016/3/5 18:46:45,rider,onboard
5_70_rider_14,-74.0028947,40.721957599999996,2016/3/5 18:46:50,rider,onboard
5_70_rider_14,-74.00285655,40.7219389,2016/3/5 18:46:55,rider,onboard
5_70_rider_14,-74.0028184,40.7219202,2016/3/5 18:47:00,rider,onboard
5_70_rider_14,-74.00278025,40.7219015,2016/3/5 18:47:05,rider,onboard
5_70_rider_14,-74.0027421,40.7218828,2016/3/5 18:47:10,rider,onboard
5_70_rider_14,-74.00270395,40.7218641,2016/3/5 18:47:15,rider,onboard
5_70_rider_14,-74.0026658,40.7218454,2016/3/5 18:47:20,rider,onboard
5_70_rider_14,-74.00262765,40.7218267,2016/3/5 18:47:25,rider,onboard
5_70_rider_14,-74.0025895,40.721807999999996,2016/3/5 18:47:30,rider,onboard
5_70_rider_14,-74.00255135,40.7217893,2016/3/5 18:47:35,rider,onboard
5_70_rider_14,-74.0025132,40.7217706,2016/3/5 18:47:40,rider,onboard
5_70_rider_14,-74.00247505,40.7217519,2016/3/5 18:47:45,rider,onboard
5_70_rider_14,-74.00243689999999,40.7217332,2016/3/5 18:47:50,rider,onboard
5_70_rider_14,-74.00239875,40.7217145,2016/3/5 18:47:55,rider,onboard
5_70_rider_14,-74.0023606,40.7216958,2016/3/5 18:48:00,rider,onboard
5_70_rider_14,-74.00232245,40.7216771,2016/3/5 18:48:05,rider,onboard
