route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,direction_angle_list
1_32_192_rider_4,114.13892355,22.549739366666664,2016-11-1 08:01:55,rider,onboard,driver_41,84.0
1_32_192_rider_4,114.1390699,22.5497542,2016-11-1 08:02:00,rider,onboard,driver_41,84.0
1_32_192_rider_4,114.13913468333332,22.54977125,2016-11-1 08:02:05,rider,onboard,driver_41,74.0
1_32_192_rider_4,114.13919946666667,22.5497883,2016-11-1 08:02:10,rider,onboard,driver_41,74.0
1_32_192_rider_4,114.13926425,22.54980535,2016-11-1 08:02:15,rider,onboard,driver_41,74.0
1_32_192_rider_4,114.13932903333333,22.5498224,2016-11-1 08:02:20,rider,onboard,driver_41,74.0
1_32_192_rider_4,114.13939381666667,22.54983945,2016-11-1 08:02:25,rider,onboard,driver_41,74.0
1_32_192_rider_4_meeting_point,114.130966,22.5448359,2016-11-01 08:00:00,point,display,driver_41,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:00,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:05,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:10,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:15,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:20,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:25,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:30,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:35,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:40,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:45,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:50,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:00:55,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:00,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:05,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:10,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:15,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:20,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:25,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:30,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:35,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:40,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:45,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:50,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:01:55,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:00,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:05,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:10,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:15,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:20,rider,wait,driver_27,0.0
1_32_192_rider_6,114.1212613,22.6168954,2016-11-1 08:02:25,rider,wait,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:00,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:05,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:10,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:15,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:20,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:25,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:30,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:35,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:40,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:45,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:50,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:00:55,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:00,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:05,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:10,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:15,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:20,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:25,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:30,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:35,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:40,point,display,driver_27,0.0
1_32_192_rider_6_meeting_point,114.1212613,22.6168954,2016-11-01 08:01:45,point,display,driver_27,0.0
