routeID,lon,lat,datetime,type
0,-73.9592044,40.7776415,2023/10/1 0:12,rider
0,-73.95943055,40.7773264,2023/10/1 0:12,rider
0,-73.9596567,40.7770113,2023/10/1 0:12,rider
0,-73.9596567,40.7770113,2023/10/1 0:12,rider
0,-73.9598123,40.77679883,2023/10/1 0:12,rider
0,-73.9599679,40.77658637,2023/10/1 0:12,rider
0,-73.9601235,40.7763739,2023/10/1 0:12,rider
0,-73.9601235,40.7763739,2023/10/1 0:12,rider
0,-73.9602888,40.7761485,2023/10/1 0:12,rider
0,-73.9604541,40.7759231,2023/10/1 0:13,rider
0,-73.9606194,40.7756977,2023/10/1 0:13,rider
0,-73.9606194,40.7756977,2023/10/1 0:13,rider
0,-73.96050735,40.7756486,2023/10/1 0:13,rider
0,-73.9603953,40.7755995,2023/10/1 0:13,rider
0,-73.9603953,40.7755995,2023/10/1 0:13,rider
0,-73.96033443,40.77568461,2023/10/1 0:13,rider
0,-73.96027355,40.77576972,2023/10/1 0:13,rider
0,-73.96021268,40.77585484,2023/10/1 0:13,rider
0,-73.9601518,40.77593995,2023/10/1 0:13,rider
0,-73.96009093,40.77602506,2023/10/1 0:13,rider
0,-73.96003005,40.77611018,2023/10/1 0:13,rider
0,-73.95996918,40.77619529,2023/10/1 0:14,rider
0,-73.9599083,40.7762804,2023/10/1 0:14,rider
2,-73.9795064,40.7611578,2023/10/1 0:00,rider
2,-73.979057,40.761771,2023/10/1 0:00,rider
2,-73.979057,40.761771,2023/10/1 0:00,rider
2,-73.9791622,40.76181521,2023/10/1 0:00,rider
2,-73.97926741,40.76185941,2023/10/1 0:00,rider
2,-73.97937261,40.76190362,2023/10/1 0:00,rider
2,-73.97947781,40.76194783,2023/10/1 0:00,rider
2,-73.97958302,40.76199204,2023/10/1 0:00,rider
2,-73.97968822,40.76203624,2023/10/1 0:00,rider
2,-73.97979343,40.76208045,2023/10/1 0:00,rider
2,-73.97989863,40.76212466,2023/10/1 0:00,rider
2,-73.98000383,40.76216887,2023/10/1 0:00,rider
2,-73.98010904,40.76221307,2023/10/1 0:01,rider
2,-73.98021424,40.76225728,2023/10/1 0:01,rider
2,-73.98031944,40.76230149,2023/10/1 0:01,rider
2,-73.98042465,40.7623457,2023/10/1 0:01,rider
2,-73.98052985,40.7623899,2023/10/1 0:01,rider
2,-73.98063506,40.76243411,2023/10/1 0:01,rider
2,-73.98074026,40.76247832,2023/10/1 0:01,rider
2,-73.98084546,40.76252253,2023/10/1 0:01,rider
2,-73.98095067,40.76256673,2023/10/1 0:01,rider
2,-73.98105587,40.76261094,2023/10/1 0:01,rider
2,-73.98116107,40.76265515,2023/10/1 0:01,rider
2,-73.98126628,40.76269936,2023/10/1 0:01,rider
2,-73.98137148,40.76274356,2023/10/1 0:02,rider
2,-73.98147669,40.76278777,2023/10/1 0:02,rider
2,-73.98158189,40.76283198,2023/10/1 0:02,rider
2,-73.98168709,40.76287619,2023/10/1 0:02,rider
2,-73.9817923,40.76292039,2023/10/1 0:02,rider
2,-73.9818975,40.7629646,2023/10/1 0:02,rider
2,-73.9818975,40.7629646,2023/10/1 0:02,rider
2,-73.9823472,40.7623476,2023/10/1 0:02,rider
2,-73.9823472,40.7623476,2023/10/1 0:02,rider
2,-73.98239319,40.76228473,2023/10/1 0:02,rider
2,-73.98243918,40.76222186,2023/10/1 0:02,rider
2,-73.98248517,40.76215899,2023/10/1 0:02,rider
2,-73.98253116,40.76209612,2023/10/1 0:03,rider
2,-73.98257715,40.76203325,2023/10/1 0:03,rider
2,-73.98262314,40.76197038,2023/10/1 0:03,rider
2,-73.98266913,40.76190751,2023/10/1 0:03,rider
2,-73.98271512,40.76184464,2023/10/1 0:03,rider
2,-73.98276111,40.76178177,2023/10/1 0:03,rider
2,-73.9828071,40.7617189,2023/10/1 0:03,rider
2,-73.9828071,40.7617189,2023/10/1 0:03,rider
2,-73.98302875,40.76140685,2023/10/1 0:03,rider
2,-73.9832504,40.7610948,2023/10/1 0:03,rider
2,-73.9832504,40.7610948,2023/10/1 0:03,rider
2,-73.9837062,40.7604633,2023/10/1 0:03,rider
2,-73.9837062,40.7604633,2023/10/1 0:04,rider
2,-73.98374218,40.76041543,2023/10/1 0:04,rider
2,-73.98377817,40.76036756,2023/10/1 0:04,rider
2,-73.98381415,40.76031969,2023/10/1 0:04,rider
2,-73.98385014,40.76027182,2023/10/1 0:04,rider
2,-73.98388612,40.76022395,2023/10/1 0:04,rider
2,-73.98392211,40.76017608,2023/10/1 0:04,rider
2,-73.98395809,40.76012822,2023/10/1 0:04,rider
2,-73.98399408,40.76008035,2023/10/1 0:04,rider
2,-73.98403006,40.76003248,2023/10/1 0:04,rider
2,-73.98406605,40.75998461,2023/10/1 0:04,rider
2,-73.98410203,40.75993674,2023/10/1 0:04,rider
2,-73.98413802,40.75988887,2023/10/1 0:05,rider
2,-73.984174,40.759841,2023/10/1 0:05,rider
2,-73.984174,40.759841,2023/10/1 0:05,rider
2,-73.98440195,40.7595256,2023/10/1 0:05,rider
2,-73.9846299,40.7592102,2023/10/1 0:05,rider
2,-73.9846299,40.7592102,2023/10/1 0:05,rider
2,-73.9848583,40.75889845,2023/10/1 0:05,rider
2,-73.9850867,40.7585867,2023/10/1 0:05,rider
2,-73.9850867,40.7585867,2023/10/1 0:05,rider
2,-73.9853101,40.75827505,2023/10/1 0:05,rider
2,-73.9855335,40.7579634,2023/10/1 0:05,rider
2,-73.9855335,40.7579634,2023/10/1 0:05,rider
2,-73.98558143,40.75790112,2023/10/1 0:06,rider
2,-73.98562936,40.75783884,2023/10/1 0:06,rider
2,-73.98567729,40.75777656,2023/10/1 0:06,rider
2,-73.98572522,40.75771428,2023/10/1 0:06,rider
2,-73.98577315,40.757652,2023/10/1 0:06,rider
2,-73.98582108,40.75758972,2023/10/1 0:06,rider
2,-73.98586901,40.75752744,2023/10/1 0:06,rider
2,-73.98591694,40.75746516,2023/10/1 0:06,rider
2,-73.98596487,40.75740288,2023/10/1 0:06,rider
2,-73.9860128,40.7573406,2023/10/1 0:06,rider
2,-73.9860128,40.7573406,2023/10/1 0:06,rider
2,-73.9861241,40.75718295,2023/10/1 0:06,rider
2,-73.9862354,40.7570253,2023/10/1 0:07,rider
2,-73.9863467,40.75686765,2023/10/1 0:07,rider
2,-73.986458,40.75671,2023/10/1 0:07,rider
2,-73.986458,40.75671,2023/10/1 0:07,rider
2,-73.98670345,40.75637305,2023/10/1 0:07,rider
