route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,current_edge_list,direction_angle_list,matched_rider_cnt,OrgPickup_cnt,reposition_recommend_cnt,reposition_recommend_and_accept_cnt,reposition_recommend_but_reject_cnt,matching_rate,unmatched_rider_cnt,total_revenue,total_revenue_added_by_reposition
7_63_1890_rider_3,-73.9832214,40.747875566666664,2016-03-7 15:48:25,rider,onboard,driver_19,"[42437644, 42445365]",120.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:00,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:05,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:10,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:15,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:20,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4,-73.9551668,40.7649208,2016-03-7 15:48:25,rider,wait,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:00,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:05,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:10,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:15,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:20,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_4_meeting_point,-73.9551668,40.7649208,2016-03-07 15:48:25,point,display,driver_27,"[42427996, 42427996]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:00,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:05,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:10,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:15,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:20,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5,-73.9965747,40.7211736,2016-03-7 15:48:25,rider,wait,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:00,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_5_meeting_point,-73.9965747,40.7211736,2016-03-07 15:48:05,point,display,driver_21,"[42430038, 42430038]",0.0,1,1,1,1,1,1,1,1,1
